aclew_id,corpus,clip_num,onset,offset
4995,Warlaumont,2,12660000,12780000
4995,Warlaumont,3,19500000,19620000
4995,Warlaumont,4,27300000,27420000
4995,Warlaumont,5,32760000,32880000
9427,Warlaumont,1,8940000,9060000
9427,Warlaumont,2,33300000,33420000
9427,Warlaumont,3,43260000,43380000
9427,Warlaumont,4,45000000,45120000
9427,Warlaumont,5,49320000,49440000
1130,Warlaumont,1,11220000,11340000
1130,Warlaumont,2,13260000,13380000
1130,Warlaumont,3,37140000,37260000
1130,Warlaumont,4,39420000,39540000
1130,Warlaumont,5,40080000,40200000
9755,Warlaumont,1,13140000,13260000
9755,Warlaumont,2,19020000,19140000
9755,Warlaumont,3,29400000,29520000
9755,Warlaumont,4,35280000,35400000
9755,Warlaumont,5,38880000,39000000
3090,Warlaumont,1,16320000,16440000
3090,Warlaumont,2,20820000,20940000
3090,Warlaumont,3,46980000,47100000
3090,Warlaumont,4,47700000,47820000
3090,Warlaumont,5,55920000,56040000
3528,Warlaumont,1,6600000,6720000
3528,Warlaumont,2,15360000,15480000
3528,Warlaumont,3,30600000,30720000
3528,Warlaumont,4,45720000,45840000
3528,Warlaumont,5,54960000,55080000
5959,Warlaumont,1,3960000,4080000
5959,Warlaumont,2,22920000,23040000
5959,Warlaumont,3,39300000,39420000
5959,Warlaumont,4,41940000,42060000
5959,Warlaumont,5,42300000,42420000
2535,Warlaumont,1,9720000,9840000
2535,Warlaumont,2,10920000,11040000
2535,Warlaumont,3,14940000,15060000
2535,Warlaumont,4,18660000,18780000
2535,Warlaumont,5,32640000,32760000
9398,Warlaumont,1,5100000,5220000
9398,Warlaumont,2,9300000,9420000
9398,Warlaumont,3,18660000,18780000
9398,Warlaumont,4,26700000,26820000
9398,Warlaumont,5,34140000,34260000
5613,Warlaumont,1,7800000,7920000
5613,Warlaumont,2,20040000,20160000
5613,Warlaumont,3,29700000,29820000
5613,Warlaumont,4,53760000,53880000
5613,Warlaumont,5,56520000,56640000
4736,Winnipeg,1,4440000,4560000
4736,Winnipeg,2,13800000,13920000
4736,Winnipeg,3,16920000,17040000
4736,Winnipeg,4,18360000,18480000
4736,Winnipeg,5,26460000,26580000
3634,Winnipeg,1,7260000,7380000
3634,Winnipeg,2,17520000,17640000
3634,Winnipeg,3,24540000,24660000
3634,Winnipeg,4,25320000,25440000
3634,Winnipeg,5,26100000,26220000
8924,Winnipeg,1,13560000,13680000
8924,Winnipeg,2,15720000,15840000
8924,Winnipeg,3,17160000,17280000
8924,Winnipeg,4,17340000,17460000
8924,Winnipeg,5,28020000,28140000
9858,Winnipeg,1,11520000,11640000
9858,Winnipeg,2,12660000,12780000
9858,Winnipeg,3,15660000,15780000
9858,Winnipeg,4,18240000,18360000
9858,Winnipeg,5,21360000,21480000
8181,Winnipeg,1,7500000,7620000
8181,Winnipeg,2,16260000,16380000
8181,Winnipeg,3,17340000,17460000
8181,Winnipeg,4,23040000,23160000
8181,Winnipeg,5,24300000,24420000
4483,Winnipeg,1,2100000,2220000
4483,Winnipeg,2,3780000,3900000
4483,Winnipeg,3,4560000,4680000
4483,Winnipeg,4,5280000,5400000
4483,Winnipeg,5,5460000,5580000
9854,Winnipeg,1,24300000,24420000
9854,Winnipeg,2,27480000,27600000
9854,Winnipeg,3,28320000,28440000
9854,Winnipeg,4,30060000,30180000
9854,Winnipeg,5,32340000,32460000
8445,Winnipeg,1,15660000,15780000
8445,Winnipeg,2,19980000,20100000
8445,Winnipeg,3,29040000,29160000
8445,Winnipeg,4,38220000,38340000
8445,Winnipeg,5,49380000,49500000
3542,Winnipeg,1,3120000,3240000
3542,Winnipeg,2,3900000,4020000
3542,Winnipeg,3,10500000,10620000
3542,Winnipeg,4,15540000,15660000
3542,Winnipeg,5,20700000,20820000
3401,Winnipeg,1,2100000,2220000
3401,Winnipeg,2,7380000,7500000
3401,Winnipeg,3,16080000,16200000
3401,Winnipeg,4,16260000,16380000
3401,Winnipeg,5,16800000,16920000
